aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
ruang lingkup laporan,2,needs_review,komitmen integrasi prinsip keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komitmen integrasi prinsip keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pencapaian bisnis,2,needs_review,kesinambungan nilai usaha,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> kesinambungan nilai usaha,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
penghargaan esg,2,needs_review,environmental practices,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> environmental practices,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
tantangan bisnis,2,needs_review,pengelolaan sampah,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> pengelolaan sampah,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
pengembangan sumber daya manusia,2,needs_review,pengembangan operasi tambang,Other,Financial Sustainability,,Manual review -> pengembangan operasi tambang,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
sustainable growth,2,needs_review,bisnis,Other,Financial Sustainability,,Manual review -> bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
sustainable value creation,2,needs_review,struktur governance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> struktur governance,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
kebijakan perlindungan pelapor,2,needs_review,tenaga kerja,Other,Human Capital,,GRI 401-404 Employment and Training -> tenaga kerja,General workforce and employment wording map to GRI 401 Employment 2016.
budaya kerja dan akuntabilitas,2,needs_review,pengadaan,Other,Supply Chain,,GRI 204 Procurement Practices 2016 -> pengadaan,Procurement wording maps to GRI 204 Procurement Practices 2016.
prospek bisnis,2,needs_review,sustainability_commitment,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability_commitment,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
keandalan solusi,2,needs_review,energi dan emisi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> energi dan emisi,Operational energy consumption and renewable-energy usage remain active under GRI 302 Energy 2016 through 2026.
pembiayaan hijau,2,needs_review,visi keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> visi keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
efisiensi operasional,2,needs_review,biaya lingkungan,Other,Financial Sustainability,,Manual review -> biaya lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
strategi omnichannel,2,needs_review,pengelolaan lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> pengelolaan lingkungan,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
target net-zero,2,needs_review,komitmen pertumbuhan bertanggung jawab,Other,Financial Sustainability,,Manual review -> komitmen pertumbuhan bertanggung jawab,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
forward_looking,2,needs_review,reduksi intensitas emisi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> reduksi intensitas emisi,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
business_strategy,2,needs_review,prinsip tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> prinsip tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
jangkauan operasional,2,needs_review,pemulihan lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> pemulihan lingkungan,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
esg commitment,2,needs_review,pengembangan karyawan,Other,Human Capital,,GRI 401-404 Employment and Training -> pengembangan karyawan,General workforce and employment wording map to GRI 401 Employment 2016.
puncak perjalanan bisnis,2,needs_review,governance keberlanjutan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> governance keberlanjutan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
kebijakan sumber daya manusia,2,needs_review,pangsa energi terbarukan,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> pangsa energi terbarukan,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
pengembangan kepemimpinan,2,needs_review,rating esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> rating esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
strategi bisnis jangka panjang,2,needs_review,peluang iklim,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> peluang iklim,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
perjalanan bisnis,2,needs_review,kepatuhan regulasi pelaporan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi pelaporan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
masa depan berkelanjutan,2,needs_review,pengawasan strategi,Other,Financial Sustainability,,Manual review -> pengawasan strategi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
keberagaman manajemen,2,needs_review,regulatory compliance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> regulatory compliance,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
whistleblowing system,2,needs_review,praktik sosial dan hak asasi manusia,Other,Human Capital,,Manual review -> praktik sosial dan hak asasi manusia,"Generic human-rights wording previously aligned with withdrawn GRI 412; split it into active topic standards such as discrimination, child labor, forced labor, or indigenous rights before mapping."
esg-general,2,needs_review,peningkatan operasional dan tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> peningkatan operasional dan tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
"environmental, social",2,needs_review,aksesibilitas laporan,Other,Financial Sustainability,,Manual review -> aksesibilitas laporan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
company_milestone,2,needs_review,reporting_framework,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> reporting_framework,Reporting principles and framework references belong under GRI 1 Foundation 2021.
social_environmental_contribution,2,needs_review,environmental_integration,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> environmental_integration,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
ruang lingkup esg,2,needs_review,penerapan gcg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> penerapan gcg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
standar internasional,2,needs_review,liputan esg dalam laporan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> liputan esg dalam laporan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
ketahanan organisasi,2,needs_review,pelaporan sesuai standar gri,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> pelaporan sesuai standar gri,Reporting principles and framework references belong under GRI 1 Foundation 2021.
cakupuan laporan,2,needs_review,sustainable_growth,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> sustainable_growth,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
penggunaan esg,2,needs_review,pendekatan keberlanjutan terintegrasi,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> pendekatan keberlanjutan terintegrasi,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
sertifikasi keamanan informasi,2,needs_review,ekspansi bisnis,Other,Financial Sustainability,,Manual review -> ekspansi bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
forward-looking-statement,2,needs_review,sustainability-contribution,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability-contribution,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
business milestone,2,needs_review,climate,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> climate,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
tema korporat,2,needs_review,energy efficiency measures,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> energy efficiency measures,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
sertifikasi smap,1,needs_review,routine air quality & emissions monitoring,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> routine air quality & emissions monitoring,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
pedoman smap,1,needs_review,ambient air & emission source monitoring scope,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> ambient air & emission source monitoring scope,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
komitmen bisnis berkelanjutan,1,needs_review,monitoring parameters reference,Other,Financial Sustainability,,Manual review -> monitoring parameters reference,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
implementasi eco-mechanized mining,1,needs_review,"monitoring results analysis, reporting & compliance assurance",Other,Governance & Ethics,,"GRI 205 Anti-corruption / GRI 2 Governance -> monitoring results analysis, reporting & compliance assurance",Reporting scope and disclosure framing align with GRI 2 General Disclosures.
strategic adaptation,1,needs_review,continuous improvement for air emission reduction,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> continuous improvement for air emission reduction,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
sustainable expansion,1,needs_review,plts development with cbess for fossil fuel emission reduction,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> plts development with cbess for fossil fuel emission reduction,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
